"RESULT"
"STATUS","0"
"ERROR_MSG","正常に終了しました。"
"DATE","2026-09-22T05:45:04.814+09:00"
"RESULT_INF"
"TOTAL_NUMBER","600"
"FROM_NUMBER","1"
"TO_NUMBER","600"
"TABLE_INF","0003060791"
"STAT_NAME","00350600","法人企業統計調査"
"GOV_ORG","00350","財務省"
"STATISTICS_NAME","法人企業統計調査 時系列データ"
"TITLE","1","時系列データ 金融業、保険業以外の業種(原数値)"
"CYCLE","年度次"
"SURVEY_DATE","202504-202603"
"OPEN_DATE","2026-09-01"
"SMALL_AREA","0"
"COLLECT_AREA","該当なし"
"MAIN_CATEGORY","07","企業・家計・経済"
"SUB_CATEGORY","01","企業活動"
"OVERALL_TOTAL_NUMBER","7479609"
"UPDATED_DATE","2026-09-01"
"STATISTICS_NAME_SPEC","法人企業統計調査","時系列データ","","","",""
"TITLE_SPEC","時系列データ","金融業、保険業以外の業種(原数値)","","","",""
"NOTE","*","計算結果が値を持たない項目"
"VALUE"
"cat01_code","調査項目 (金融業、保険業以外の業種)","cat02_code","業種 (金融業、保険業以外の業種)","cat03_code","規模 (金融業、保険業以外の業種)","time_code","年  期","unit","value","annotation"
"045","売上高(当期末)","104","全産業（除く金融保険業）","26","全規模","20160","2016年度","百万円","1455756301",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","26","全規模","20170","2017年度","百万円","1544142808",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","26","全規模","20180","2018年度","百万円","1535211424",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","26","全規模","20190","2019年度","百万円","1481898587",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","26","全規模","20200","2020年度","百万円","1362469609",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","26","全規模","20210","2021年度","百万円","1447887788",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","26","全規模","20220","2022年度","百万円","1578439646",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","26","全規模","20230","2023年度","百万円","1633331387",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","26","全規模","20240","2024年度","百万円","1692401786",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","26","全規模","20250","2025年度","百万円","1720255968",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20160","2016年度","百万円","537203021",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20170","2017年度","百万円","568667315",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20180","2018年度","百万円","589823356",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20190","2019年度","百万円","564219254",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20200","2020年度","百万円","512262125",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20210","2021年度","百万円","543614687",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20220","2022年度","百万円","599877130",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20230","2023年度","百万円","600357719",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20240","2024年度","百万円","620754172",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20250","2025年度","百万円","623848495",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","24","1億円以上 - 10億円未満","20160","2016年度","百万円","268962589",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","24","1億円以上 - 10億円未満","20170","2017年度","百万円","287092424",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","24","1億円以上 - 10億円未満","20180","2018年度","百万円","298015127",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","24","1億円以上 - 10億円未満","20190","2019年度","百万円","290423769",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","24","1億円以上 - 10億円未満","20200","2020年度","百万円","264985308",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","24","1億円以上 - 10億円未満","20210","2021年度","百万円","282576344",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","24","1億円以上 - 10億円未満","20220","2022年度","百万円","300081626",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","24","1億円以上 - 10億円未満","20230","2023年度","百万円","329957721",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","24","1億円以上 - 10億円未満","20240","2024年度","百万円","346681860",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","24","1億円以上 - 10億円未満","20250","2025年度","百万円","350227791",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","19","1千万円以上 - 1億円未満","20160","2016年度","百万円","528037507",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","19","1千万円以上 - 1億円未満","20170","2017年度","百万円","549290873",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","19","1千万円以上 - 1億円未満","20180","2018年度","百万円","513687892",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","19","1千万円以上 - 1億円未満","20190","2019年度","百万円","499223662",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","19","1千万円以上 - 1億円未満","20200","2020年度","百万円","463999221",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","19","1千万円以上 - 1億円未満","20210","2021年度","百万円","495986927",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","19","1千万円以上 - 1億円未満","20220","2022年度","百万円","533002148",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","19","1千万円以上 - 1億円未満","20230","2023年度","百万円","540398212",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","19","1千万円以上 - 1億円未満","20240","2024年度","百万円","555358340",""
"045","売上高(当期末)","104","全産業（除く金融保険業）","19","1千万円以上 - 1億円未満","20250","2025年度","百万円","574039802",""
