fiscal_year,sector_code,sales_million_yen,operating_profit_million_yen,ordinary_profit_million_yen,capital_size,capital_label,sector,ordinary_margin_pct,operating_margin_pct,net_nonoperating_margin_pp
2016,104,1455756301.00000000,58728333.00000000,74987218.00000000,all,全規模,全産業,5.15108318,4.03421458,1.11686860
2016,104,537203021.00000000,31129658.00000000,42432504.00000000,large,10億円以上,全産業,7.89878358,5.79476600,2.10401758
2016,104,268962589.00000000,10324725.00000000,11177256.00000000,medium,1億円以上10億円未満,全産業,4.15569170,3.83872160,0.31697010
2016,104,649590691.00000000,17273950.00000000,21377458.00000000,small,1億円未満,全産業,3.29091200,2.65920529,0.63170671
2016,108,395561444.00000000,17231894.00000000,24053738.00000000,all,全規模,製造業,6.08091066,4.35631285,1.72459781
2016,108,219801873.00000000,10371715.00000000,16347856.00000000,large,10億円以上,製造業,7.43754172,4.71866543,2.71887629
2016,108,65436004.00000000,3313725.00000000,3630206.00000000,medium,1億円以上10億円未満,製造業,5.54771957,5.06406993,0.48364964
2016,108,110323567.00000000,3546454.00000000,4075676.00000000,small,1億円未満,製造業,3.69429317,3.21459331,0.47969986
2016,144,1060194857.00000000,41496439.00000000,50933480.00000000,all,全規模,非製造業,4.80416215,3.91403889,0.89012326
2016,144,317401148.00000000,20757943.00000000,26084648.00000000,large,10億円以上,非製造業,8.21819586,6.53997099,1.67822487
2016,144,203526585.00000000,7011000.00000000,7547050.00000000,medium,1億円以上10億円未満,非製造業,3.70813965,3.44475883,0.26338083
2016,144,539267124.00000000,13727496.00000000,17301782.00000000,small,1億円未満,非製造業,3.20838806,2.54558370,0.66280436
2017,104,1544142808.00000000,67444032.00000000,83554295.00000000,all,全規模,全産業,5.41104712,4.36773281,1.04331432
2017,104,568667315.00000000,36004816.00000000,46299809.00000000,large,10億円以上,全産業,8.14180942,6.33143756,1.81037185
2017,104,287092424.00000000,11495660.00000000,13004475.00000000,medium,1億円以上10億円未満,全産業,4.52971723,4.00416696,0.52555027
2017,104,688383069.00000000,19943556.00000000,24250011.00000000,small,1億円未満,全産業,3.52274948,2.89715958,0.62558991
2017,108,406259788.00000000,20536639.00000000,28317573.00000000,all,全規模,製造業,6.97031157,5.05505088,1.91526069
2017,108,230786314.00000000,13679434.00000000,20420354.00000000,large,10億円以上,製造業,8.84816506,5.92731595,2.92084911
2017,108,66075006.00000000,3410074.00000000,3706594.00000000,medium,1億円以上10億円未満,製造業,5.60967637,5.16091364,0.44876273
2017,108,109398468.00000000,3447131.00000000,4190625.00000000,small,1億円未満,製造業,3.83060666,3.15098654,0.67962012
2017,144,1137883020.00000000,46907393.00000000,55236722.00000000,all,全規模,非製造業,4.85434100,4.12233878,0.73200222
2017,144,337881001.00000000,22325382.00000000,25879455.00000000,large,10億円以上,非製造業,7.65934010,6.60746888,1.05187122
2017,144,221017418.00000000,8085586.00000000,9297881.00000000,medium,1億円以上10億円未満,非製造業,4.20685441,3.65834787,0.54850654
2017,144,578984601.00000000,16496425.00000000,20059386.00000000,small,1億円未満,非製造業,3.46458023,2.84919927,0.61538096
2018,104,1535211424.00000000,67729516.00000000,83917665.00000000,all,全規模,全産業,5.46619597,4.41173867,1.05445730
2018,104,589823356.00000000,37526705.00000000,48237846.00000000,large,10億円以上,全産業,8.17835467,6.36236334,1.81599133
2018,104,298015127.00000000,12171090.00000000,13661721.00000000,medium,1億円以上10億円未満,全産業,4.58423743,4.08405108,0.50018635
2018,104,647372941.00000000,18031721.00000000,22018098.00000000,small,1億円未満,全産業,3.40114586,2.78536835,0.61577751
2018,108,414269775.00000000,19151653.00000000,27346780.00000000,all,全規模,製造業,6.60120087,4.62299066,1.97821021
2018,108,237795596.00000000,12421689.00000000,19439257.00000000,large,10億円以上,製造業,8.17477587,5.22368337,2.95109250
2018,108,68069986.00000000,3187951.00000000,3570907.00000000,medium,1億円以上10億円未満,製造業,5.24593468,4.68334311,0.56259157
2018,108,108404193.00000000,3542013.00000000,4336616.00000000,small,1億円未満,製造業,4.00041353,3.26741328,0.73300024
2018,144,1120941649.00000000,48577863.00000000,56570885.00000000,all,全規模,非製造業,5.04672880,4.33366563,0.71306316
2018,144,352027760.00000000,25105016.00000000,28798589.00000000,large,10億円以上,非製造業,8.18077216,7.13154440,1.04922777
2018,144,229945141.00000000,8983139.00000000,10090814.00000000,medium,1億円以上10億円未満,非製造業,4.38835713,3.90664441,0.48171272
2018,144,538968748.00000000,14489708.00000000,17681482.00000000,small,1億円未満,非製造業,3.28061359,2.68841339,0.59220020
2019,104,1481898587.00000000,55162642.00000000,71438502.00000000,all,全規模,全産業,4.82074162,3.72243030,1.09831132
2019,104,564219254.00000000,30850321.00000000,41699520.00000000,large,10億円以上,全産業,7.39065881,5.46778948,1.92286933
2019,104,290423769.00000000,10248768.00000000,11530586.00000000,medium,1億円以上10億円未満,全産業,3.97026250,3.52890124,0.44136126
2019,104,627255564.00000000,14063553.00000000,18208396.00000000,small,1億円未満,全産業,2.90286720,2.24207704,0.66079015
2019,108,398499697.00000000,14004690.00000000,22690491.00000000,all,全規模,製造業,5.69397949,3.51435399,2.17962550
2019,108,230419567.00000000,8728344.00000000,16267682.00000000,large,10億円以上,製造業,7.06002629,3.78802205,3.27200424
2019,108,64121780.00000000,2573058.00000000,2915488.00000000,medium,1億円以上10億円未満,製造業,4.54679830,4.01276758,0.53403071
2019,108,103958350.00000000,2703288.00000000,3507321.00000000,small,1億円未満,製造業,3.37377517,2.60035678,0.77341839
2019,144,1083398890.00000000,41157952.00000000,48748011.00000000,all,全規模,非製造業,4.49954412,3.79896568,0.70057844
2019,144,333799687.00000000,22121977.00000000,25431838.00000000,large,10億円以上,非製造業,7.61889211,6.62732107,0.99157103
2019,144,226301989.00000000,7675710.00000000,8615098.00000000,medium,1億円以上10億円未満,非製造業,3.80690335,3.39179962,0.41510373
2019,144,523297214.00000000,11360265.00000000,14701075.00000000,small,1億円未満,非製造業,2.80931650,2.17090110,0.63841540
2020,104,1362469609.00000000,41632021.00000000,62853778.00000000,all,全規模,全産業,4.61322422,3.05562933,1.55759489
2020,104,512262125.00000000,25781913.00000000,37070537.00000000,large,10億円以上,全産業,7.23663437,5.03295320,2.20368117
2020,104,264985308.00000000,8859330.00000000,10422166.00000000,medium,1億円以上10億円未満,全産業,3.93311089,3.34332876,0.58978213
2020,104,585222176.00000000,6990778.00000000,15361075.00000000,small,1億円未満,全産業,2.62482791,1.19455111,1.43027680
2020,108,365094778.00000000,11411559.00000000,21830403.00000000,all,全規模,製造業,5.97937969,3.12564290,2.85373679
2020,108,209960185.00000000,7602623.00000000,15984420.00000000,large,10億円以上,製造業,7.61307197,3.62098319,3.99208879
2020,108,63672664.00000000,2666868.00000000,3188450.00000000,medium,1億円以上10億円未満,製造業,5.00756494,4.18840336,0.81916158
2020,108,91461929.00000000,1142068.00000000,2657533.00000000,small,1億円未満,製造業,2.90561661,1.24868130,1.65693531
2020,144,997374831.00000000,30220462.00000000,41023375.00000000,all,全規模,非製造業,4.11313517,3.03000046,1.08313471
2020,144,302301940.00000000,18179290.00000000,21086117.00000000,large,10億円以上,非製造業,6.97518415,6.01362003,0.96156412
2020,144,201312644.00000000,6192462.00000000,7233716.00000000,medium,1億円以上10億円未満,非製造業,3.59327455,3.07604226,0.51723229
2020,144,493760247.00000000,5848710.00000000,12703542.00000000,small,1億円未満,非製造業,2.57281587,1.18452428,1.38829159
2021,104,1447887788.00000000,54215583.00000000,83924653.00000000,all,全規模,全産業,5.79635064,3.74446027,2.05189036
2021,104,543614687.00000000,34793189.00000000,49534149.00000000,large,10億円以上,全産業,9.11199609,6.40034014,2.71165595
2021,104,282576344.00000000,11924371.00000000,14019955.00000000,medium,1億円以上10億円未満,全産業,4.96147512,4.21987589,0.74159923
2021,104,621696757.00000000,7498023.00000000,20370549.00000000,small,1億円未満,全産業,3.27660532,1.20605792,2.07054739
2021,108,401773979.00000000,20744000.00000000,33193982.00000000,all,全規模,製造業,8.26185461,5.16310191,3.09875269
2021,108,230967403.00000000,14629321.00000000,24442826.00000000,large,10億円以上,製造業,10.58280332,6.33393319,4.24887013
2021,108,73241110.00000000,3984653.00000000,4716997.00000000,medium,1億円以上10億円未満,製造業,6.44036798,5.44045960,0.99990838
2021,108,97565466.00000000,2130026.00000000,4034159.00000000,small,1億円未満,製造業,4.13482266,2.18317617,1.95164650
2021,144,1046113809.00000000,33471583.00000000,50730671.00000000,all,全規模,非製造業,4.84944091,3.19961200,1.64982890
2021,144,312647284.00000000,20163868.00000000,25091323.00000000,large,10億円以上,非製造業,8.02544090,6.44939810,1.57604280
2021,144,209335234.00000000,7939718.00000000,9302958.00000000,medium,1億円以上10億円未満,非製造業,4.44404787,3.79282448,0.65122339
2021,144,524131291.00000000,5367997.00000000,16336390.00000000,small,1億円未満,非製造業,3.11685074,1.02417030,2.09268044
2022,104,1578439646.00000000,63264978.00000000,95279976.00000000,all,全規模,全産業,6.03633951,4.00807077,2.02826875
2022,104,599877130.00000000,37681051.00000000,57361425.00000000,large,10億円以上,全産業,9.56219568,6.28146151,3.28073417
2022,104,300081626.00000000,12970538.00000000,15090377.00000000,medium,1億円以上10億円未満,全産業,5.02875741,4.32233662,0.70642079
2022,104,678480890.00000000,12613389.00000000,22828174.00000000,small,1億円未満,全産業,3.36460088,1.85906327,1.50553761
2022,108,436341951.00000000,19574368.00000000,34650634.00000000,all,全規模,製造業,7.94116493,4.48601560,3.45514933
2022,108,253945331.00000000,14339038.00000000,26887986.00000000,large,10億円以上,製造業,10.58810016,5.64650586,4.94159430
2022,108,74818913.00000000,3301554.00000000,4058323.00000000,medium,1億円以上10億円未満,製造業,5.42419401,4.41272650,1.01146751
2022,108,107577707.00000000,1933776.00000000,3704325.00000000,small,1億円未満,製造業,3.44339464,1.79756202,1.64583263
2022,144,1142097695.00000000,43690610.00000000,60629342.00000000,all,全規模,非製造業,5.30859508,3.82547046,1.48312461
2022,144,345931799.00000000,23342013.00000000,30473439.00000000,large,10億円以上,非製造業,8.80908870,6.74757656,2.06151213
2022,144,225262713.00000000,9668984.00000000,11032054.00000000,medium,1億円以上10億円未満,非製造業,4.89741682,4.29231446,0.60510236
2022,144,570903183.00000000,10679613.00000000,19123849.00000000,small,1億円未満,非製造業,3.34975344,1.87065221,1.47910123
2023,104,1633331387.00000000,75585445.00000000,106769423.00000000,all,全規模,全産業,6.53691124,4.62768582,1.90922542
2023,104,600357719.00000000,43466149.00000000,63956002.00000000,large,10億円以上,全産業,10.65298238,7.24004167,3.41294071
2023,104,329957721.00000000,15543114.00000000,17420414.00000000,medium,1億円以上10億円未満,全産業,5.27958974,4.71063806,0.56895168
2023,104,703015947.00000000,16576182.00000000,25393007.00000000,small,1億円未満,全産業,3.61201010,2.35786714,1.25414296
2023,108,447532360.00000000,22616505.00000000,38505478.00000000,all,全規模,製造業,8.60395391,5.05360216,3.55035176
2023,108,258151968.00000000,15980843.00000000,29484383.00000000,large,10億円以上,製造業,11.42132800,6.19047886,5.23084914
2023,108,79797415.00000000,3776572.00000000,4630566.00000000,medium,1億円以上10億円未満,製造業,5.80290226,4.73269967,1.07020259
2023,108,109582977.00000000,2859090.00000000,4390529.00000000,small,1億円未満,製造業,4.00657942,2.60906400,1.39751542
2023,144,1185799027.00000000,52968940.00000000,68263945.00000000,all,全規模,非製造業,5.75678875,4.46694075,1.28984800
2023,144,342205751.00000000,27485306.00000000,34471619.00000000,large,10億円以上,非製造業,10.07336051,8.03180716,2.04155336
2023,144,250160306.00000000,11766542.00000000,12789848.00000000,medium,1億円以上10億円未満,非製造業,5.11266084,4.70360074,0.40906010
2023,144,593432970.00000000,13717092.00000000,21002478.00000000,small,1億円未満,非製造業,3.53914916,2.31148128,1.22766789
2024,104,1692401786.00000000,84802919.00000000,114728819.00000000,all,全規模,全産業,6.77905329,5.01080297,1.76825032
2024,104,620754172.00000000,48495379.00000000,68703153.00000000,large,10億円以上,全産業,11.06769090,7.81233235,3.25535855
2024,104,346681860.00000000,16489887.00000000,18418971.00000000,medium,1億円以上10億円未満,全産業,5.31293186,4.75648971,0.55644215
2024,104,724965754.00000000,19817653.00000000,27606695.00000000,small,1億円未満,全産業,3.80799987,2.73359850,1.07440137
2024,108,467795156.00000000,25214037.00000000,40358776.00000000,all,全規模,製造業,8.62744633,5.38997394,3.23747239
2024,108,266587497.00000000,17719140.00000000,31010315.00000000,large,10億円以上,製造業,11.63232160,6.64665080,4.98567080
2024,108,84871648.00000000,4097519.00000000,4727615.00000000,medium,1億円以上10億円未満,製造業,5.57031130,4.82790083,0.74241047
2024,108,116336011.00000000,3397378.00000000,4620846.00000000,small,1億円未満,製造業,3.97198250,2.92031502,1.05166748
2024,144,1224606630.00000000,59588882.00000000,74370043.00000000,all,全規模,非製造業,6.07297406,4.86596108,1.20701298
2024,144,354166675.00000000,30776239.00000000,37692838.00000000,large,10億円以上,非製造業,10.64268342,8.68976140,1.95292202
2024,144,261810212.00000000,12392368.00000000,13691356.00000000,medium,1億円以上10億円未満,非製造業,5.22949655,4.73334020,0.49615635
2024,144,608629743.00000000,16420275.00000000,22985849.00000000,small,1億円未満,非製造業,3.77665556,2.69790873,1.07874682
2025,104,1720255968.00000000,93468454.00000000,124831342.00000000,all,全規模,全産業,7.25655625,5.43340385,1.82315240
2025,104,623848495.00000000,52145655.00000000,74606620.00000000,large,10億円以上,全産業,11.95909273,8.35870494,3.60038778
2025,104,350227791.00000000,17840364.00000000,20249999.00000000,medium,1億円以上10億円未満,全産業,5.78195092,5.09393157,0.68801936
2025,104,746179682.00000000,23482435.00000000,29974723.00000000,small,1億円未満,全産業,4.01709182,3.14702150,0.87007033
2025,108,477013010.00000000,26209184.00000000,43326021.00000000,all,全規模,製造業,9.08277554,5.49443798,3.58833756
2025,108,268369147.00000000,17747998.00000000,32950105.00000000,large,10億円以上,製造業,12.27790354,6.61327809,5.66462545
2025,108,87217265.00000000,4458470.00000000,5224603.00000000,medium,1億円以上10億円未満,製造業,5.99033116,5.11191219,0.87841897
2025,108,121426598.00000000,4002716.00000000,5151313.00000000,small,1億円未満,製造業,4.24232671,3.29640793,0.94591878
2025,144,1243242958.00000000,67259270.00000000,81505321.00000000,all,全規模,非製造業,6.55586428,5.40998600,1.14587828
2025,144,355479348.00000000,34397657.00000000,41656515.00000000,large,10億円以上,非製造業,11.71840649,9.67641501,2.04199148
2025,144,263010526.00000000,13381894.00000000,15025396.00000000,medium,1億円以上10億円未満,非製造業,5.71284968,5.08796899,0.62488069
2025,144,624753084.00000000,19479719.00000000,24823410.00000000,small,1億円未満,非製造業,3.97331532,3.11798685,0.85532847
